616827.81,431715.58,22.55
616831.95,431714.85,22.62
616838.23,431713.86,22.43
616844.50,431713.03,22.35
616851.47,431711.90,22.36
616856.84,431710.90,22.16
616861.77,431710.26,22.11
616865.69,431708.50,22.07
616872.53,431706.29,21.04
616877.55,431705.66,20.00
616884.58,431705.36,18.77
616888.19,431704.20,18.02
616892.97,431702.89,17.24
616897.78,431703.99,16.62
616901.58,431703.70,16.03
616907.24,431700.57,15.56
616911.04,431697.31,15.61
616917.63,431697.97,15.82
616924.14,431697.81,15.63
616927.60,431697.99,15.70
616931.93,431697.00,15.05
616936.65,431695.18,14.42
616942.60,431693.58,13.82
616947.74,431693.07,13.05
616951.25,431692.80,12.87
616956.14,431693.20,12.55
616962.89,431691.14,12.32
616968.36,431690.53,12.32
616973.48,431689.34,12.08
616978.31,431687.96,11.96
616983.86,431687.33,11.83
616989.33,431684.82,11.65
616994.24,431684.67,11.53
617000.85,431684.49,11.38
617006.58,431684.31,11.37
617011.43,431683.07,11.31
617016.55,431681.85,11.28
617021.23,431680.20,11.06
617024.92,431679.49,11.26
617026.93,431679.22,11.15
617035.35,431677.60,11.03
617041.32,431676.36,10.11
617046.86,431674.33,9.54
617050.72,431673.87,9.03
617055.82,431674.26,8.37
617061.97,431672.78,7.54
617067.81,431671.06,6.54
617072.69,431670.14,6.09
617076.78,431670.46,5.84
617077.05,431670.32,5.84
617082.60,431667.64,5.43
617091.44,431665.84,4.70
617092.93,431665.00,4.45
617097.47,431664.10,4.16
617101.18,431663.33,3.98
617105.59,431662.64,3.40
617110.19,431661.87,2.79
617115.13,431660.79,2.19
617119.28,431659.68,1.55
617123.69,431658.23,0.87
617128.03,431657.64,0.37
617132.18,431656.65,-0.19
617136.19,431655.71,-0.79
617140.90,431654.98,-1.32
617145.53,431654.55,-1.93
617149.61,431654.12,-2.64
617154.27,431652.99,-3.17
617158.63,431652.14,-3.81
617162.76,431651.42,-4.22
617166.47,431650.37,-4.22
617170.15,431649.40,-4.20
617174.08,431648.96,-4.33
617178.60,431648.37,-4.39
617181.66,431648.62,-4.46
617185.58,431648.63,-4.32
617189.44,431648.00,-4.35
617192.84,431647.62,-4.44
617193.15,431647.57,-4.44
617193.49,431647.50,-4.45
617193.85,431647.43,-4.46
617194.15,431647.36,-4.48
617194.51,431647.31,-4.50
617194.88,431647.26,-4.49
617195.26,431647.19,-4.49
617195.60,431647.13,-4.51
617195.96,431647.07,-4.50
617196.33,431647.02,-4.52
617196.66,431646.97,-4.55
617197.04,431646.90,-4.57
617197.43,431646.85,-4.58
617197.82,431646.79,-4.59
617198.17,431646.73,-4.60
617198.57,431646.68,-4.58
617198.98,431646.62,-4.56
617199.38,431646.55,-4.55
617199.73,431646.49,-4.53
617200.14,431646.42,-4.54
617200.50,431646.36,-4.56
617200.94,431646.29,-4.57
617201.34,431646.22,-4.56
617201.76,431646.15,-4.54
617202.14,431646.07,-4.53
617202.57,431646.00,-4.54
617203.00,431645.92,-4.56
617203.42,431645.84,-4.57
617203.80,431645.76,-4.58
617204.24,431645.66,-4.60
617204.69,431645.57,-4.62
617205.08,431645.49,-4.63
617205.53,431645.41,-4.64
617205.98,431645.33,-4.64
617206.41,431645.23,-4.66
617206.83,431645.14,-4.67
617207.27,431645.06,-4.67
617207.71,431644.98,-4.67
617208.10,431644.90,-4.68
617208.55,431644.82,-4.66
617209.01,431644.73,-4.69
617209.39,431644.66,-4.69
617209.83,431644.58,-4.67
617210.27,431644.51,-4.69
617210.72,431644.43,-4.70
617211.11,431644.36,-4.71
617211.54,431644.29,-4.73
617211.97,431644.22,-4.73
617212.37,431644.16,-4.74
617212.80,431644.09,-4.72
617213.22,431644.02,-4.74
617213.64,431643.95,-4.78
617214.03,431643.90,-4.77
617214.47,431643.82,-4.81
617214.88,431643.76,-4.84
617215.29,431643.69,-4.87
617215.65,431643.63,-4.89
617216.06,431643.57,-4.91
617216.46,431643.50,-4.94
617216.86,431643.44,-4.95
617217.26,431643.37,-4.95
617217.66,431643.30,-4.98
617218.00,431643.24,-4.98
617218.40,431643.17,-4.96
617218.79,431643.10,-4.96
617219.14,431643.03,-4.96
617219.52,431642.94,-4.97
