profile_name,Origin_X,Origin_Y,Azimuth
LBI017,"603,801.97","336,893.99",118.38
LBI020,"603,643.78","336,601.22",118.32
LBI023,"603,485.05","336,307.47",118.38
LBI027,"603,326.59","336,014.21",118.38
LBI030,"603,168.53","335,721.69",118.28
LBI033,"603,009.67","335,427.69",118.38
LBI037,"602,851.21","335,134.43",118.38
LBI040,"602,693.28","334,842.16",118.25
LBI043,"602,534.29","334,547.91",118.38
LBI047,"602,375.83","334,254.65",118.38
LBI050,"602,218.03","333,962.62",118.21
LBI053,"602,058.91","333,668.13",118.38
LBI057,"601,900.45","333,374.87",118.38
LBI060,"601,742.78","333,083.09",118.18
LBI063,"601,583.53","332,788.35",118.38
LBI067,"601,425.07","332,495.09",118.38
LBI070,"601,267.54","332,203.55",117.89
LBI073,"601,108.15","331,908.57",118.38
LBI077,"600,949.69","331,615.31",118.38
LBI080,"600,801.76","331,319.36",115.68
LBI083,"600,665.41","331,012.75",113.98
LBI087,"600,529.96","330,708.17",113.98
LBI090,"600,395.53","330,405.89",113.67
LBI093,"600,259.06","330,099.02",113.98
LBI097,"600,123.62","329,794.45",113.98
LBI100,"599,989.30","329,492.43",113.63
LBI103,"599,862.90","329,208.19",113.98
LBI107,"599,717.27","328,880.73",113.98
LBI110,"599,583.07","328,578.96",113.6
LBI113,"599,436.22","328,248.74",113.98
LBI117,"599,310.93","327,967.01",113.98
LBI120,"599,176.84","327,665.50",113.56
LBI123,"599,040.03","327,357.86",113.98
LBI127,"598,904.59","327,053.29",113.98
LBI130,"598,791.98","326,797.28",113.03
LBI133,"598,636.26","326,443.04",112.63
LBI137,"598,508.02","326,135.36",112.63
LBI140,"598,381.29","325,831.28",112.32
LBI143,"598,251.55","325,520.00",112.63
LBI147,"598,123.31","325,212.32",112.63
LBI150,"597,996.69","324,908.50",112.11
LBI153,"597,866.84","324,596.96",112.63
LBI157,"597,738.60","324,289.28",112.63
LBI160,"597,612.08","323,985.72",112.08
LBI163,"597,482.13","323,673.92",112.63
LBI167,"597,354.81","323,368.43",112.63
