profile_name,Origin_X,Origin_Y,Azimuth,Project,,NSOrder,,Station,,Street,Town,ProjDuneEl,ProjBermEl,ProjBermW,ClosureDep,MHW_Elev,MLW_Elev,StormLine,CSDPLine,
MA122,"612,064.426","402,615.732",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,122,,605+00,60500,btw Lincoln & Dupont Ave.,"Seaside Heights, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA123,"611,988.695","402,121.500",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,123,,610+00,61000,btw Porter & Farragut Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA124,"611,911.849","401,630.852",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,124,,615+00,61500,btw Stockton & Decatur Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA125,"611,827.796","401,137.982",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,125,,620+00,62000,btw Lafayette & O St.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,Yes,
MA126,"611,743.740","400,645.098",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,126,,625+00,62500,btw N & M St.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA127,"611,659.684","400,152.214",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,127,,630+00,63000,btw L & K St.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA128,"611,575.628","399,659.330",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,128,,635+00,63500,J St.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA129,"611,491.572","399,166.446",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,129,,640+00,64000,H St.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA130,"611,407.515","398,673.562",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,130,,645+00,64500,F St.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA131,"611,323.459","398,180.678",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,131,,650+00,65000,D St.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA132,"611,239.403","397,687.794",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,132,,655+00,65500,btw C & Brighton Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA133,"611,155.347","397,194.910",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,133,,660+00,66000,btw Island & North Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA134,"611,071.291","396,702.027",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,134,,665+00,66500,btw 1st & 2nd Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA135,"610,987.235","396,209.143",99.680,"Manasquan Inlet to Barnegat Inlet, NJ",1,135,,670+00,67000,btw 3rd & 4th Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA136,"610,908.467","395,712.222",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,136,,675+00,67500,btw 5th & 6th Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA137,"610,832.149","395,218.081",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,137,,680+00,68000,btw 7th & 8th Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA138,"610,755.831","394,723.940",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,138,,685+00,68500,9th Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA139,"610,679.513","394,229.799",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,139,,690+00,69000,11th Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA140,"610,603.194","393,735.658",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,140,,695+00,69500,13th Ave.,"Seaside Park, NJ",22.00,8.50,40.00,-26.00,1.5,-2.77,No,No,
MA141,"610,526.876","393,241.516",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,141,,700+00,70000,btw 1st & 2nd Ln.,"Berkeley Township, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,No,
MA142,"610,436.996","392,749.470",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,142,,705+00,70500,btw 5th & 6th Ln.,"Berkeley Township, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,No,
MA143,"610,374.240","392,253.234",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,143,,710+00,71000,btw 9th & 10th Ln.,"Berkeley Township, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,No,
MA144,"610,297.922","391,759.093",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,144,,715+00,71500,btw 20th & 21st Ave.,"Berkeley Township, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,No,
MA145,"610,221.603","391,264.952",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,145,,720+00,72000,22nd Ave.,"Berkeley Township, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,Yes,
MA146,"610,145.285","390,770.810",98.780,"Manasquan Inlet to Barnegat Inlet, NJ",1,146,,725+00,72500,24th Ave.,"Berkeley Township, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,No,
MA147,"610,083.313","390,268.428",97.010,"Manasquan Inlet to Barnegat Inlet, NJ",1,147,,730+00,73000,Island Beach State Park,"Berkeley Township, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,No,
MA148,"610,022.332","389,772.160",97.010,"Manasquan Inlet to Barnegat Inlet, NJ",1,148,,735+00,73500,Island Beach State Park,"Berkeley Township, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,No,
LBI003,"604,435.820","338,067.030",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,1,,3+31,331,Barnegat Lighthouse State Park,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI007,"604,277.360","337,773.770",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,2,, ,,Barnegat Lighthouse State Park,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI010,"604,119.030","337,480.760",118.350,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,3,, ,,5th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI013,"603,960.440","337,187.250",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,4,, ,,6th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI017,"603,801.970","336,893.990",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,5,, ,,7th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI020,"603,643.780","336,601.220",118.320,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,6,, ,,8th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI023,"603,485.050","336,307.470",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,7,, ,,9th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI027,"603,326.590","336,014.210",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,8,, ,,10th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI030,"603,168.530","335,721.690",118.280,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,9,, ,,11th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI033,"603,009.670","335,427.690",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,10,, ,,12th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI037,"602,851.210","335,134.430",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,11,, ,,13th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI040,"602,693.280","334,842.160",118.250,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,12,, ,,14th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI043,"602,534.290","334,547.910",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,13,, ,,15th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI047,"602,375.830","334,254.650",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,14,, ,,16th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI050,"602,218.030","333,962.620",118.210,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,15,, ,,17th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI053,"602,058.910","333,668.130",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,16,, ,,18th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI057,"601,900.450","333,374.870",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,17,, ,,19th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI060,"601,742.780","333,083.090",118.180,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,18,, ,,20th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI063,"601,583.530","332,788.350",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,19,, ,,21st St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI067,"601,425.070","332,495.090",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,20,, ,,22nd St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI070,"601,267.540","332,203.550",117.890,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,21,, ,,23rd St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI073,"601,108.150","331,908.570",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,22,, ,,btw 24th & 25th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI077,"600,949.690","331,615.310",118.380,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,23,, ,,btw 25th & 26th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI080,"600,801.760","331,319.360",115.680,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,24,, ,,btw 26th & 27th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI083,"600,665.410","331,012.750",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,25,, ,,btw 27th & 28th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI087,"600,529.960","330,708.170",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,26,, ,,btw 28th & 29th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI090,"600,395.530","330,405.890",113.670,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,27,, ,,btw 29th & 30th St,"Barnegat Light, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI093,"600,259.060","330,099.020",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,28,, ,,btw 30th & Whalers,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI097,"600,123.620","329,794.450",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,29,, ,, Cedar Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI100,"599,989.300","329,492.430",113.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,30,,99+97.21,9997.21,btw Cedar Dr & Lighthouse Way,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI103,"599,862.900","329,208.190",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,31,, ,, Lighthouse Way,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI107,"599,717.270","328,880.730",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,32,, ,,Beacon Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI110,"599,583.070","328,578.960",113.600,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,33,,109+96.93,10996.93,btw Beacon & Seaview Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI113,"599,436.220","328,248.740",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,34,, ,,btw Beacon & Seaview Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,Yes,
LBI117,"599,310.930","327,967.010",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,35,, ,,Seaview Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI120,"599,176.840","327,665.500",113.560,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,36,,119+96.55,11996.55,btw Seaview & Sandy Cove Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI123,"599,040.030","327,357.860",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,37,, ,,btw Seaview & Sandy Cove Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI127,"598,904.590","327,053.290",113.980,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,38,, ,,Sandy Cove Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI130,"598,791.980","326,797.280",113.030,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,39,,129+45.46,12945.46,Arts Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI133,"598,636.260","326,443.040",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,40,, ,,btw Coast Ave & Tidal Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI137,"598,508.020","326,135.360",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,41,, ,,btw Tidal Dr & Riviera Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI140,"598,381.290","325,831.280",112.320,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,42,,139+96.10,13996.1,btw Tidal Dr & Riviera Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI143,"598,251.550","325,520.000",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,43,, ,,Riviera Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI147,"598,123.310","325,212.320",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,44,, ,,Pompano Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI150,"597,996.690","324,908.500",112.110,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,45,,149+95.82,14995.82,Oceana Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI153,"597,866.840","324,596.960",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,46,, ,,Nautilus Dr,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI157,"597,738.600","324,289.280",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,47,, ,,Marina Blvd,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI160,"597,612.080","323,985.720",112.080,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,48,,159+95.34,15995.34,Laguna Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI163,"597,482.130","323,673.920",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,49,, ,,Panorama St,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI167,"597,354.810","323,368.430",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,50,, ,,La Baia St,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI170,"597,227.480","323,062.940",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,51,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI173,"597,097.420","322,750.890",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,52,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI177,"596,969.180","322,443.210",112.630,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,53,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI180,"596,851.450","322,136.790",110.690,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,54,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI183,"596,733.490","321,819.660",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,55,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI187,"596,617.280","321,507.240",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,56,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI190,"596,487.230","321,157.610",109.750,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,57,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI193,"596,384.860","320,882.400",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,58,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI197,"596,268.650","320,569.980",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,59,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI200,"596,154.380","320,262.790",109.720,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,60,, ,,btw La Baia & Seashell Ln,"Long Beach Township, NJ (Loveladies)",22.00,8.00,40.00,0.00,1.5,-2.77,No,Yes,
LBI203,"596,036.230","319,945.140",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,61,, ,,86th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,Yes,
LBI207,"595,911.310","319,609.290",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,62,, ,,85th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI210,"595,805.850","319,325.790",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,63,, ,,84th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI213,"595,688.620","319,010.630",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,64,, ,,btw 83rd & 82nd St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI217,"595,571.390","318,695.460",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,65,, ,,btw 82nd & 81st St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI220,"595,457.320","318,388.790",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,66,, ,,80th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI223,"595,338.970","318,070.610",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,67,, ,,btw 79th & 78th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI227,"595,222.760","317,758.190",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,68,, ,,btw 78th & 77th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI230,"595,106.550","317,445.770",110.400,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,69,, ,,76th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI233,"594,970.850","317,141.440",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,70,, ,,75th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI237,"594,831.880","316,838.450",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,71,, ,,btw Lee Ave & 73rd St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI240,"594,692.910","316,535.470",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,72,, ,,btw 73rd & 72nd St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI243,"594,553.940","316,232.490",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,73,, ,,btw 72nd & Sussex Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI247,"594,414.970","315,929.510",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,74,, ,,btw 70th & 69th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI250,"594,276.000","315,626.520",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,75,, ,,btw 69th & 68th St,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI253,"594,128.690","315,305.360",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,76,, ,,btw Fives & Middlesex Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI257,"593,998.060","315,020.560",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,77,, ,,Middlesex Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI260,"593,859.100","314,717.570",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,78,, ,,Mercer Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI263,"593,720.130","314,414.590",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,79,, ,,btw Mercer & Atlantic Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI267,"593,581.160","314,111.610",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,80,, ,,btw Mercer & Atlantic Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI270,"593,442.190","313,808.630",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,81,, ,,btw Atlantic & Burlington Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI273,"593,303.220","313,505.640",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,82,, ,,btw Burlington & Passaic Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI277,"593,164.250","313,202.660",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,83,, ,,Hudson Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI280,"593,025.280","312,899.680",114.640,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,84,, ,,Salem Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI283,"592,863.940","312,608.060",119.250,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,85,, ,,Glocester Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI287,"592,701.090","312,317.220",119.250,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,86,, ,,btw Cape May & Cumberland Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
LBI290,"592,538.230","312,026.380",119.250,"Barnegat Inlet to Little Egg Harbor Inlet, Long Beach Island, NJ",2,87,, ,,btw Cumberland & Union Ave,"Harvey Cedars, NJ",22.00,8.00,40.00,0.00,1.5,-2.77,No,No,
