profile_name,Origin_X,Origin_Y,Azimuth,Project,,NSOrder,,Station,,Street,Town,ProjDuneEl,ProjBermEl,ProjBermW,ClosureDep,MHW_Elev,MLW_Elev,StormLine,CSDPLine,
MA029,"619,618.177","448,481.539",98.690,"Manasquan Inlet to Barnegat Inlet, NJ",1,29,,140+00,14000,btw Chadwick & Johnson St.,"Bay Head, NJ",22.00,8.50,40.00,-18.00,1.5,-2.77,No,No,
MA030,"619,542.624","447,987.280",98.690,"Manasquan Inlet to Barnegat Inlet, NJ",1,30,,145+00,14500,btw Johnson & Egbert St.,"Bay Head, NJ",22.00,8.50,40.00,-18.00,1.5,-2.77,No,No,
MA031,"619,464.713","447,497.220",99.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,31,,150+00,15000,Goetze St,"Bay Head, NJ",22.00,8.50,40.00,-16.00,1.5,-2.77,No,No,
MA032,"619,379.866","447,004.472",99.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,32,,155+00,15500,btw Goetze & Mathis Place,"Bay Head, NJ",22.00,8.50,40.00,-16.00,1.5,-2.77,No,No,
MA033,"619,295.018","446,511.724",99.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,33,,160+00,16000,btw Goetze & Mathis Place,"Bay Head, NJ",22.00,8.50,40.00,-14.00,1.5,-2.77,No,No,
MA034,"619,210.170","446,018.975",99.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,34,,165+00,16500,Carrigan Place,"Mantoloking, NJ",22.00,8.50,40.00,-10.00,1.5,-2.77,No,No,
MA035,"619,125.323","445,526.227",99.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,35,,170+00,17000,Williams Place,"Mantoloking, NJ",22.00,8.50,40.00,-6.00,1.5,-2.77,No,No,
MA036,"619,040.475","445,033.479",99.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,36,,175+00,17500,btw Williams & Newman Pl.,"Mantoloking, NJ",22.00,8.50,40.00,-6.00,1.5,-2.77,No,No,
MA037,"618,955.627","444,540.730",99.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,37,,180+00,18000,btw Newman & Stephens Pl.,"Mantoloking, NJ",22.00,8.50,40.00,-25.00,1.5,-2.77,No,No,
MA038,"618,870.780","444,047.982",99.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,38,,185+00,18500,btw Stephens & Lyman St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA039,"618,785.447","443,556.844",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,39,,190+00,19000,Lyman St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA040,"618,696.902","443,064.746",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,40,,195+00,19500,btw Lyman & Herbert St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA041,"618,608.358","442,572.649",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,41,,200+00,20000,btw Lyman & Herbert St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA042,"618,519.813","442,080.552",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,42,,205+00,20500,btw Lyman & Herbert St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA043,"618,431.269","441,588.454",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,43,,210+00,21000,btw Lyman & Herbert St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA044,"618,342.724","441,096.357",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,44,,215+00,21500,btw Lyman & Herbert St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA045,"618,254.180","440,604.259",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,45,,220+00,22000,btw Lyman & Herbert St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,Yes,
MA046,"618,165.635","440,112.162",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,46,,225+00,22500,btw Lyman & Herbert St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA047,"618,077.091","439,620.065",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,47,,230+00,23000,Herbert St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA048,"617,988.546","439,127.967",100.200,"Manasquan Inlet to Barnegat Inlet, NJ",1,48,,235+00,23500,btw Herbert & Downer Ave.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA049,"617,900.326","438,637.815",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,49,,240+00,24000,Downer Ave.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA050,"617,806.934","438,146.615",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,50,,245+00,24500,btw Downer & Princeton Ave.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA051,"617,713.542","437,655.414",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,51,,250+00,25000,Princeton Ave.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA052,"617,620.151","437,164.214",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,52,,255+00,25500,Carpenter Ln.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA053,"617,526.759","436,673.013",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,53,,260+00,26000,Albertson St.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA054,"617,433.367","436,181.813",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,54,,265+00,26500,btw Albertson & Curtus Pt. Dr.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA055,"617,339.976","435,690.612",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,55,,270+00,27000,btw Albertson & Curtus Pt. Dr.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA056,"617,246.584","435,199.411",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,56,,275+00,27500,btw Albertson & Curtus Pt. Dr.,"Mantoloking, NJ",22.00,8.50,40.00,-29.00,1.5,-2.77,No,No,
MA057,"617,153.192","434,708.211",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,57,,280+00,28000,Curtis Pt. Dr.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA058,"617,059.800","434,217.010",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,58,,285+00,28500,Bay Way South,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA059,"616,966.409","433,725.810",100.770,"Manasquan Inlet to Barnegat Inlet, NJ",1,59,,290+00,29000,Bay Ave.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA060,"616,872.946","433,234.862",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,60,,295+00,29500,btw Bay & Dune Ave.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA061,"616,778.977","432,743.771",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,61,,300+00,30000,Dune Ave.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA062,"616,685.008","432,252.681",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,62,,305+00,30500,Oceanview Terrace,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA063,"616,591.038","431,761.591",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,63,,310+00,31000,Grandview Blvd.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA064,"616,497.069","431,270.500",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,64,,315+00,31500,Carlton Pl.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA065,"616,403.099","430,779.410",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,65,,320+00,32000,Brick Beach One,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,Yes,
MA066,"616,309.130","430,288.320",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,66,,325+00,32500,Easy St.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA067,"616,215.160","429,797.229",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,67,,330+00,33000,btw Bel Air & Ospray Ln.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA068,"616,121.191","429,306.139",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,68,,335+00,33500,Ospray Ln.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA069,"616,027.222","428,815.049",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,69,,340+00,34000,Brick Beach Three,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA070,"615,933.252","428,323.958",100.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,70,,345+00,34500,Sanderling Ln.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA071,"615,840.932","427,829.787",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,71,,350+00,35000,Marion St.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA072,"615,753.677","427,337.459",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,72,,355+00,35500,Neptune Ct.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA073,"615,590.954","426,858.507",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,73,,360+00,36000,Deauville Dr.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA074,"615,579.168","426,352.804",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,74,,365+00,36500,8th Ave.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA075,"615,491.913","425,860.476",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,75,,370+00,37000,6th Ave.,"Brick Township, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA076,"615,404.658","425,368.148",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,76,,375+00,37500,4th Ave.,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA077,"615,317.404","424,875.820",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,77,,380+00,38000,2nd Ave.,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA078,"615,230.149","424,383.493",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,78,,385+00,38500,Sand Dune Ln.,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA079,"615,142.894","423,891.165",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,79,,390+00,39000,Fishermans Rd.,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA080,"615,055.639","423,398.837",100.050,"Manasquan Inlet to Barnegat Inlet, NJ",1,80,,395+00,39500,N. Surf Rd.,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA081,"614,968.208","422,906.714",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,81,,400+00,40000,Surf Way,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA082,"614,880.532","422,414.461",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,82,,405+00,40500,E. Tarpon Way,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA083,"614,792.857","421,922.208",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,83,,410+00,41000,E. Pompano Way,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA084,"614,705.181","421,429.955",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,84,,415+00,41500,E. Amber Jack Way,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA085,"614,617.506","420,937.702",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,85,,420+00,42000,E Tuna Way,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,Yes,
MA086,"614,529.830","420,445.449",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,86,,425+00,42500,Basra Ln.,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA087,"614,442.154","419,953.196",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,87,,430+00,43000,E Baybery Way,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA088,"614,354.479","419,460.943",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,88,,435+00,43500,Catalina Dr.,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA089,"614,266.803","418,968.690",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,89,,440+00,44000,Plainfield Ave.,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA090,"614,179.128","418,476.437",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,90,,445+00,44500,E. Barnegat Way,"Toms River Township, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA091,"614,091.452","417,984.184",100.100,"Manasquan Inlet to Barnegat Inlet, NJ",1,91,,450+00,45000,E Shore Way,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA092,"614,019.321","417,480.841",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,92,,455+00,45500,btw Haddonfield & Westmont Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA093,"613,951.931","416,985.757",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,93,,460+00,46000,Ortley Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA094,"613,884.494","416,490.325",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,94,,465+00,46500,Kerr Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA095,"613,817.056","415,994.894",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,95,,470+00,47000,Guyer Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA096,"613,749.619","415,499.463",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,96,,475+00,47500,Reese Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
